sl_buffer_mult,eval_dt,code,direction,entry,tp,sl,exit,result,pnl_pct,rr_real,mfe_pct,mae_pct,d1_ohlc_pct,d2_ohlc_pct,d3_ohlc_pct,d4_ohlc_pct,d5_ohlc_pct,cumulative_ohlc,ma_divergence,trend_aligned,swing_rank
1.0,2025-11-26,5801,買い,9250.0,11277.1,9014.9,10090.0,forced_win,9.08,3.57,9.62,0.8,4.681,18.368,14.778,15.405,23.459,76.692,6.977,True,1
1.0,2025-11-26,9432,売り,155.9,146.4,152.9,152.9,loss,1.95,1.0,1.03,0.13,1.86,1.09,0.641,-0.192,1.539,4.939,-1.31,True,2
1.0,2025-11-26,7003,買い,6233.0,7430.1,6161.4,6340.0,forced_win,1.72,1.49,13.83,1.14,-0.401,29.568,16.204,6.883,3.738,55.992,23.239,True,3
1.0,2025-11-26,8725,売り,3424.0,3182.8,3393.7,3393.7,loss,0.88,1.0,0.32,1.11,-1.314,-3.329,-3.797,-8.879,-7.097,-24.416,-3.095,True,4
1.0,2025-11-26,2269,売り,3324.0,3126.8,3285.6,3285.6,loss,1.16,1.0,0.18,1.38,-1.986,-4.483,1.414,6.047,7.16,8.153,-0.027,True,5
1.0,2025-11-26,6503,買い,4284.0,4536.1,4112.3,4339.0,forced_win,1.28,0.32,3.64,3.24,-2.824,-4.015,-5.556,-1.961,5.439,-8.917,7.569,True,6
1.0,2025-11-26,8058,買い,3690.0,3874.7,3592.2,3670.0,forced_loss,-0.54,-0.2,0.89,1.3,-0.298,-0.488,-0.921,-0.379,-0.921,-3.008,5.127,True,7
1.0,2025-11-26,6146,買い,44410.0,50366.2,42454.2,42454.2,loss,-4.4,-1.0,0.18,4.59,-3.31,-4.909,-9.007,-9.885,-1.846,-28.957,7.733,True,8
1.0,2025-11-26,6758,買い,4586.0,4821.2,4319.5,4388.0,forced_loss,-4.32,-0.74,0.44,4.6,-0.589,-0.545,-9.093,-9.725,-11.666,-31.618,3.445,True,9
1.0,2025-11-26,8001,買い,1870.4,1950.5,1786.3,1828.8,forced_loss,-2.22,-0.49,0.22,2.43,-1.957,-1.946,-4.865,-5.539,-5.55,-19.857,5.365,True,10
1.0,2025-11-27,4063,売り,4643.0,4418.4,4666.8,4666.8,loss,-0.51,-1.0,0.26,1.27,-2.283,-1.831,-4.308,-2.757,-10.769,-21.947,-0.696,True,1
1.0,2025-11-27,9432,売り,154.7,150.2,155.5,155.5,loss,-0.53,-1.0,0.19,0.71,-1.228,-1.681,-2.521,-0.776,-0.905,-7.111,-1.412,True,2
1.0,2025-11-27,7267,売り,1566.0,1491.1,1604.5,1547.5,forced_win,1.18,0.48,4.09,0.83,-0.83,3.959,8.365,11.143,5.619,28.257,-2.647,True,3
1.0,2025-11-27,8725,売り,3461.0,3235.6,3446.5,3446.5,loss,0.42,1.0,0.69,0.66,-0.087,-0.549,-5.576,-3.814,-6.674,-16.7,-3.072,True,4
1.0,2025-11-27,7003,買い,6593.0,7341.2,6161.4,6351.0,forced_loss,-3.67,-0.56,7.61,5.78,11.573,-1.062,-9.874,-12.847,-11.861,-24.071,23.164,True,5
1.0,2025-11-27,7011,買い,3919.0,4416.7,3919.8,3919.8,loss,0.02,1.0,0.92,0.82,0.817,-1.072,-4.619,-1.863,6.201,-0.536,7.272,True,6
1.0,2025-11-27,6146,買い,43900.0,51408.7,42454.2,42454.2,loss,-3.29,-1.0,1.16,3.49,-1.481,-5.626,-6.515,1.617,11.754,-0.251,6.828,True,7
1.0,2025-11-27,5801,買い,9627.0,11398.7,9014.9,9813.0,forced_win,1.93,0.3,5.33,1.66,5.9,2.451,3.054,10.793,7.375,29.573,6.967,True,8
